Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,1.80,5.0,3.0,,,,,Appeared unchanged
Apple,62.00,8.0,4.0,,,Fermented,Decreased,
Biodegradable plastic bag,1.00,28.0,22.0,,,No change,,
Bubble wrap,0.70,20.0,14.0,,,,,Appeared unchanged
Card stock,3.20,14.0,11.0,,"Damp, easy to rip",None,,
Cucumber,54.50,5.0,3.5,,Hard,,Yellow,Ends were rounded instead of flat
Fabric,2.00,6.0,4.0,4.0,,,,Appeared unchanged
Glass pellet,8.10,4.0,4.0,,,No smell,,Appeared unchanged
Newspaper,17.30,4.6,2.5,,"Damp, easy to rip",,,
Normal plastic bag,2.00,21.0,15.0,,,,,Appeared unchanged
Plastic bowl,6.00,10.5,10.0,,,,,Appeared unchanged
Wooden popsicle stick,2.40,15.0,2.0,,Rotted and cracked,No smell,,
