Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,2.00,4.0,3.0,2.0,Pocky,Metal,,
Apple,14.00,5.5,1.5,,,,,Split into two parts
Biodegradable plastic bag,2.60,13.0,3.5,,Rips easily,,,
Bubble wrap,1.60,17.5,14.0,0.5,Crunchy,Plasticky,,
Card stock,2.50,12.0,11.0,,"Soggy, easy to rip",,,
Cucumber,52.50,5.0,4.0,4.0,Bumpy,Eggplant,Yellowish green,Top was flat before (now round)
Fabric,2.80,4.0,4.0,4.0,Squishiness unchanged,Zucchini,Navy blue,
Glass pellet,10.70,3.0,3.0,0.5,,,,Unchanged
Newspaper,4.20,10.5,9.5,,"Soggy, tears easily",Muchrooms,Unchanged,
Normal plastic bag,1.50,24.0,,,Harder to rip,,,
Plastic bowl,6.40,11.0,11.0,5.0,,Trash,,"quarter circle, 10 cm radius"
Wooden popsicle stick,3.30,15.0,2.0,,Soggy,Fishy,Brownish,
