Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,1.5,4.0,4.0,,,,,
Apple,45.20,4.0,4.0,,Rotted,,,"Disgusting, chunk"
Biodegradable plastic bag,3.00,20.0,6.0,,,,,Did not biodegrade
Bubble wrap,,,,,,,,
Card stock,,13.0,11.0,,Very wet,,,
Cucumber,50.00,5.0,5.0,,,,Decreased in color,
Fabric,3.50,4.0,2.0,2.0,,Rain,,Same
Glass pellet,4.50,4.5,1.0,,,,,Same as beginning
Newspaper,13.50,20.0,20.0,,Soggy,,,"Ripped, in several pieces"
Normal plastic bag,3.60,24.0,13.0,,Crinkled,Does not smell,,
Plastic bowl,6.50,14.0,10.0,,Easier to bend,,,Didn't change a lot
Wooden popsicle stick,4.00,16.0,15.0,,,Wet wood,Brown spots,
,,,,,,,,Lots of small bugs in the soil
