Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,3.0,5.0,3.0,,,,,
Apple,43.50,7.0,4.0,,"Moldy, squishy",Freshish,Reddish brown,
Biodegradable plastic bag,3.00,8.0,4.0,,,,,
Bubble wrap,1.50,12.0,8.5,,Popped bubbles,No scent,,
Card stock,6.90,13.5,11.0,,,,Brown,
Cucumber,,,,,,,,Not recovered
Fabric,2.90,3.0,3.0,2.0,Less squishy,,Looks like a trunk,
Glass pellet,20.00,3.5,3.0,,,Glassy,,
Newspaper,30.00,22.0,17.0,,Soggy,,,Torn
Normal plastic bag,3.30,27.0,13.0,,,,"Colorful, like a balloon",
Plastic bowl,5.30,10.0,10.0,,"Flexible, dented",,Greyish,
Wooden popsicle stick,3.30,14.0,1.0,,Moldy,,Light & dark brown,
,,,,,,,,A ton of bugs in soil
