Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,2.30,21.7,16.0,5.0,,metal,,
Apple,57.80,6.8,5.5,3.8,hard,fresh,,
Biodegradable plastic bag,2.30,29.4,22.1,3.0,stretchy,poop,"light green, a little bit see-through",
Card stock,4.10,14.3,11.6,5.8,"bendy, smooth",cardboard,tan/beige,
Cucumber,54.00,4.8,3.5,,"cold, bumpy",fresh,"dark green outside, light green inside",
Fabric,2.00,3.7,3.7,4.5,"squishy, soft",dust and soap,navy blue,
Newspaper,6.20,55.0,24.0,6.0,rough,,colorful,
Normal plastic bag,,26.9,14.0,6.0,smooth/rough,,blue,
Plastic bowl,6.80,10.0,4.5,,smooth,salad,see-through,"quarter circle, 10 cm radius"
Wooden popsicle stick,2.70,15.0,1.7,0.1,rough,woody apples,"yellow, tan",
