Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,2.00,24.0,18.5,,"sharp, metallic",None,,
Apple,45.00,4.0,2.0,3.5,hard,fresh,green and red,
Biodegradable plastic bag,1.25,48.0,23.0,,thin,plasticky,green,
Card stock,,14.0,10.0,,hard,card stock,"red, black",
Cucumber,43.00,4.5,3.0,,hard,fresh,green,
Fabric,1.50,2.5,2.3,3.0,fluffy,cotton,bluish purple,
Newspaper,5.00,32.0,22.0,,papery,newspaper,white,
Normal plastic bag,3.00,27.0,14.0,,hard,soil,"blue, black, red, white",
Plastic bowl,5.00,7.0,,,rough,burnt,white,
Wooden popsicle stick,1.50,14.5,1.0,,hard,wood,tan,
