Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,2.50,23.3,16.1,,smooth,,,
Apple,56.00,7.0,3.3,,"wet, smooth skin",apple scent,,
Biodegradable plastic bag,1.60,38.0,23.1,,"light, smooth, soft, stretchy",,,
Card stock,4.10,14.3,11.9,,"smooth, bendy",,,
Cucumber,59.60,5.4,4.0,,rough,fresh,,
Fabric,2.70,4.5,3.9,4.0,"soft, squishy, uneven",,,
Newspaper,12.00,5.3,4.3,,"smooth, fragile",,,
Normal plastic bag,2.50,17.5,15.7,,"smooth, crunchy, bendy",,,
Plastic bowl,6.50,9.3,,,"pointy on edcges, smooth, bendy",,,recycling #5; size measurement is radius of quarter circle
Wooden popsicle stick,2.25,14.9,2.7,,rough / smooth,,light brown,
